slug,nomor,tahun,tentang,source_url,pdf_url,local_pdf_path
perppu-no-32-tahun-1960,32,1960,PENGGUNAAN MATA UANG RUPIAH DALAM LALU-LINTAS PEMBAYARAN LUAR NEGERI,https://peraturan.go.id/id/perppu-no-32-tahun-1960,https://peraturan.go.id/files/PERPUNomor32Tahun1960_PERPUNomor32Tahun1960.pdf,
perppu-no-33-tahun-1960,33,1960,"PERUBAHAN DAN TAMBAHAN TARIF BEA MASUK, BEA KELUAR, BEA STATISTIK, BEA BERAT BARANG DAN PAJAK MASUK (PAJAK PENJUALAN)",https://peraturan.go.id/id/perppu-no-33-tahun-1960,https://peraturan.go.id/files/PERPUNomor33Tahun1960_PERPUNomor33Tahun1960.pdf,
perppu-no-34-tahun-1960,34,1960,PAJAK TRANSFER,https://peraturan.go.id/id/perppu-no-34-tahun-1960,https://peraturan.go.id/files/PERPUNomor34Tahun1960_PERPUNomor34Tahun1960.pdf,
perppu-no-35-tahun-1960,35,1960,KREDIT DAN LIKWIDASI BANK,https://peraturan.go.id/id/perppu-no-35-tahun-1960,https://peraturan.go.id/files/PERPUNomor35Tahun1960_PERPUNomor35Tahun1960.pdf,
perppu-no-36-tahun-1960,36,1960,"PERUBAHAN DAN TAMBAHAN UNDANG-UNDANG DARURAT NOMOR 7 TAHUN 1955 TENTANG PENGUSUTAN, PENUNTUTAN DAN PERADILAN TINDAK-PIDANA EKONOMI",https://peraturan.go.id/id/perppu-no-36-tahun-1960,https://peraturan.go.id/files/PERPUNomor36Tahun1960_PERPUNomor36Tahun1960.pdf,
perppu-no-37-tahun-1960,37,1960,PERTAMBANGAN,https://peraturan.go.id/id/perppu-no-37-tahun-1960,https://peraturan.go.id/files/PERPUNomor37Tahun1960_PERPUNomor37Tahun1960.pdf,
perppu-no-38-tahun-1960,38,1960,PENGGUNAAN DAN PENETAPAN LUSA TANAH UNTUK TANAMAN-TANAMAN TERTENTU,https://peraturan.go.id/id/perppu-no-38-tahun-1960,NO_PDF,
perppu-no-39-tahun-1960,39,1960,PENYALURAN MILITER WAJIB DARURAT KEDALAM RANGKA WAJIB MILITER,https://peraturan.go.id/id/perppu-no-39-tahun-1960,NO_PDF,
perppu-no-4-tahun-1960,4,1960,PERAIRAN INDONESIA,https://peraturan.go.id/id/perppu-no-4-tahun-1960,NO_PDF,
perppu-no-40-tahun-1960,40,1960,PERUBAHAN DAN TAMBAHAN UNDANG-UNDANG NO. 66 TAHUN 1958 (LEMBARAN NEGARA TAHUN 1958 NO. 117) TENTANG WAJIB MILITER,https://peraturan.go.id/id/perppu-no-40-tahun-1960,NO_PDF,
perppu-no-41-tahun-1960,41,1960,"BANK KOPERASI, TANI DAN NELAYAN",https://peraturan.go.id/id/perppu-no-41-tahun-1960,NO_PDF,
perppu-no-42-tahun-1960,42,1960,"PELEBURAN BANK RAKYAT INDONESIA KEDALAM BANK KOPERASI, TANI DAN NELAYAN",https://peraturan.go.id/id/perppu-no-42-tahun-1960,NO_PDF,
perppu-no-43-tahun-1960,43,1960,PELEBURAN PERSEROAN TERBATAS BANK TANI DAN NELAYAN,https://peraturan.go.id/id/perppu-no-43-tahun-1960,NO_PDF,
perppu-no-44-tahun-1960,44,1960,PERTAMBANGAN MINYAK DAN GAS BUMI,https://peraturan.go.id/id/perppu-no-44-tahun-1960,NO_PDF,
perppu-no-45-tahun-1960,45,1960,PEMBENTUKAN DEWAN PERUSAHAAN,https://peraturan.go.id/id/perppu-no-45-tahun-1960,NO_PDF,
perppu-no-46-tahun-1960,46,1960,"PERUBAHAN NAMA DAN KEDUDUKAN HUKUM SERTA PEMINDAHAN TEMPAT KEDUDUKAN ""N.V. NEDERLANDCHE-INDISCHE AARDOLIE MAATSCHAAPPIJ",https://peraturan.go.id/id/perppu-no-46-tahun-1960,NO_PDF,
perppu-no-47-tahun-1960,47,1960,PEMBENTUKAN DAERAH TINGKAT I SULAWESI SELATAN TENGGARA DAN DAERAH TINGKAT I SULAWESI UTARA-TENGAH,https://peraturan.go.id/id/perppu-no-47-tahun-1960,NO_PDF,
perppu-no-48-tahun-1960,48,1960,PENGAWASAN PENDIDIKAN DAN PENGAJARAN ASING,https://peraturan.go.id/id/perppu-no-48-tahun-1960,NO_PDF,
perppu-no-49-tahun-1960,49,1960,PANITYA URUSAN PIUTANG NEGARA,https://peraturan.go.id/id/perppu-no-49-tahun-1960,NO_PDF,
perppu-no-5-tahun-1960,5,1960,PENGHENTIAN BERLAKUNYA UNDANG-UNDANG NO. 17  TAHUN 1951 (LEMBARAN NEGARA 1951 NO. 100),https://peraturan.go.id/id/perppu-no-5-tahun-1960,https://peraturan.go.id/files/PERPUNomor5Tahun1960.pdf,
perppu-no-50-tahun-1960,50,1960,LARANGAN ORGANISASI-ORGANISASI DAN PENGAWASAN PERUSAHAAN-PERUSAHAAN ORANG ASING TERTENTU,https://peraturan.go.id/id/perppu-no-50-tahun-1960,NO_PDF,
perppu-no-51-tahun-1960,51,1960,LARANGAN PEMAKAIAN TANAH TANPA IZIN YANG BERHAK ATAU KUASANYA,https://peraturan.go.id/id/perppu-no-51-tahun-1960,NO_PDF,
perppu-no-52-tahun-1960,52,1960,PERUBAHAN PASAL 43 AYAT (5) PERATURAN PEMERINTAH PENGGANTI UNDANG-UNDANG NO. 23 TAHUN 1959 (LEMBARAN NEGARA TAHUN 1959 NO. 139) TENTANG KEADAAN BAHAYA,https://peraturan.go.id/id/perppu-no-52-tahun-1960,NO_PDF,
perppu-no-53-tahun-1960,53,1960,PERUBAHAN DAN TAMBAHAN PAJAK DIVIDEN,https://peraturan.go.id/id/perppu-no-53-tahun-1960,NO_PDF,
